2026-04-08 13:53:07.169448[INFO][DMMotor#4]                     xout: 0.007670
2026-04-08 13:53:07.169455[INFO][DMMotor#4]       over_voltage_thres: 32.000000
2026-04-08 13:53:07.169462[INFO][DMMotor#4]             acceleration: 2.000000
2026-04-08 13:53:07.169468[INFO][DMMotor#4]                     deta: 4.000000
2026-04-08 13:53:07.169475[INFO][DMMotor#4]      under_voltage_thres: 15.000000
2026-04-08 13:53:07.169482[INFO][DMMotor#4]         hardware_version: 300V
2026-04-08 13:53:07.169489[INFO][DMMotor#4]             control_mode: 1
2026-04-08 13:53:07.169496[INFO][DMMotor#4]              kp_position: 54.000000
2026-04-08 13:53:07.169502[INFO][DMMotor#4]               fw_version: 5015
2026-04-08 13:53:07.169509[INFO][DMMotor#4]                 damp_eff: 0.000373
2026-04-08 13:53:07.169515[INFO][DMMotor#4]                 ki_speed: 0.039270
2026-04-08 13:53:07.169522[INFO][DMMotor#4]           gear_ratio_eff: 1.000000
2026-04-08 13:53:07.169529[INFO][DMMotor#4]         phase_resistance: 0.954745
2026-04-08 13:53:07.169536[INFO][DMMotor#4]         phase_inductance: 0.000367
2026-04-08 13:53:07.169543[INFO][DMMotor#4]             flux_linkage: 0.005287
2026-04-08 13:53:07.169549[INFO][DMMotor#4]               gear_ratio: 10.000000
2026-04-08 13:53:07.169556[INFO][DMMotor#4]              i_bandwidth: 1000.000000
2026-04-08 13:53:07.169563[INFO][DMMotor#4]             can_baudrate: 4
2026-04-08 13:53:07.169571[INFO][DMMotor#4]                  pos_max: 12.500000
2026-04-08 13:53:07.169578[INFO][DMMotor#4]          over_temp_thres: 100.000000
2026-04-08 13:53:07.169584[INFO][DMMotor#4]               torque_max: 10.000000
2026-04-08 13:53:07.169591[INFO][DMMotor#4]                direction: 1.000000
2026-04-08 13:53:07.169597[INFO][DMMotor#4]              ki_position: 0.000000
2026-04-08 13:53:07.169604[INFO][DMMotor#4]     number_of_pole_pairs: 14
2026-04-08 13:53:07.169610[INFO][DMMotor#4]                 kp_speed: 0.003875
